CUPS;FECHA-HORA;INV / VER;PERIODO TARIFARIO;CONSUMO Wh;GENERACION Wh;
ES0021000008305769EY;2024/07/12 14:00;1;Punta;7;2143;
ES0021000008305769EY;2024/07/12 15:00;1;Llano;3;2969;
ES0021000008305769EY;2024/07/12 16:00;1;Llano;1;3118;
ES0021000008305769EY;2024/07/12 17:00;1;Llano;1;2750;
ES0021000008305769EY;2024/07/12 18:00;1;Llano;0;1864;
ES0021000008305769EY;2024/07/12 19:00;1;Punta;0;1397;
ES0021000008305769EY;2024/07/12 20:00;1;Punta;0;614;
ES0021000008305769EY;2024/07/12 21:00;1;Punta;13;50;
ES0021000008305769EY;2024/07/12 22:00;1;Punta;17;0;
ES0021000008305769EY;2024/07/12 23:00;1;Llano;19;0;
ES0021000008305769EY;2024/07/13 00:00;1;Llano;18;1;
ES0021000008305769EY;2024/07/13 01:00;1;Valle;19;0;
ES0021000008305769EY;2024/07/13 02:00;1;Valle;20;0;
ES0021000008305769EY;2024/07/13 03:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/13 04:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/13 05:00;1;Valle;51;0;
ES0021000008305769EY;2024/07/13 06:00;1;Valle;390;0;
ES0021000008305769EY;2024/07/13 07:00;1;Valle;428;0;
ES0021000008305769EY;2024/07/13 08:00;1;Valle;399;0;
ES0021000008305769EY;2024/07/13 09:00;1;Valle;320;0;
ES0021000008305769EY;2024/07/13 10:00;1;Valle;237;0;
ES0021000008305769EY;2024/07/13 11:00;1;Valle;75;0;
ES0021000008305769EY;2024/07/13 12:00;1;Valle;47;6;
ES0021000008305769EY;2024/07/13 13:00;1;Valle;58;11;
ES0021000008305769EY;2024/07/13 14:00;1;Valle;63;21;
ES0021000008305769EY;2024/07/13 15:00;1;Valle;28;403;
ES0021000008305769EY;2024/07/13 16:00;1;Valle;8;1553;
ES0021000008305769EY;2024/07/13 17:00;1;Valle;0;1852;
ES0021000008305769EY;2024/07/13 18:00;1;Valle;0;1677;
ES0021000008305769EY;2024/07/13 19:00;1;Valle;25;389;
ES0021000008305769EY;2024/07/13 20:00;1;Valle;20;569;
ES0021000008305769EY;2024/07/13 21:00;1;Valle;28;1;
ES0021000008305769EY;2024/07/13 22:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/13 23:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/14 00:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/14 01:00;1;Valle;22;0;
ES0021000008305769EY;2024/07/14 02:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/14 03:00;1;Valle;210;0;
ES0021000008305769EY;2024/07/14 04:00;1;Valle;456;0;
ES0021000008305769EY;2024/07/14 05:00;1;Valle;482;0;
ES0021000008305769EY;2024/07/14 06:00;1;Valle;442;0;
ES0021000008305769EY;2024/07/14 07:00;1;Valle;407;0;
ES0021000008305769EY;2024/07/14 08:00;1;Valle;313;0;
ES0021000008305769EY;2024/07/14 09:00;1;Valle;103;0;
ES0021000008305769EY;2024/07/14 10:00;1;Valle;426;1;
ES0021000008305769EY;2024/07/14 11:00;1;Valle;705;1;
ES0021000008305769EY;2024/07/14 12:00;1;Valle;249;192;
ES0021000008305769EY;2024/07/14 13:00;1;Valle;38;16;
ES0021000008305769EY;2024/07/14 14:00;1;Valle;2;1487;
ES0021000008305769EY;2024/07/14 15:00;1;Valle;0;3171;
ES0021000008305769EY;2024/07/14 16:00;1;Valle;0;3165;
ES0021000008305769EY;2024/07/14 17:00;1;Valle;0;2814;
ES0021000008305769EY;2024/07/14 18:00;1;Valle;0;1991;
ES0021000008305769EY;2024/07/14 19:00;1;Valle;0;1389;
ES0021000008305769EY;2024/07/14 20:00;1;Valle;2;697;
ES0021000008305769EY;2024/07/14 21:00;1;Valle;15;25;
ES0021000008305769EY;2024/07/14 22:00;1;Valle;21;0;
ES0021000008305769EY;2024/07/14 23:00;1;Valle;23;0;
ES0021000008305769EY;2024/07/15 00:00;1;Valle;23;0;
ES0021000008305769EY;2024/07/15 01:00;1;Valle;23;1;
ES0021000008305769EY;2024/07/15 02:00;1;Valle;23;0;
ES0021000008305769EY;2024/07/15 03:00;1;Valle;23;0;
ES0021000008305769EY;2024/07/15 04:00;1;Valle;23;0;
ES0021000008305769EY;2024/07/15 05:00;1;Valle;113;0;
ES0021000008305769EY;2024/07/15 06:00;1;Valle;420;0;
ES0021000008305769EY;2024/07/15 07:00;1;Valle;436;0;
ES0021000008305769EY;2024/07/15 08:00;1;Valle;327;0;
ES0021000008305769EY;2024/07/15 09:00;1;Llano;183;0;
ES0021000008305769EY;2024/07/15 10:00;1;Llano;79;0;
ES0021000008305769EY;2024/07/15 11:00;1;Punta;58;0;
ES0021000008305769EY;2024/07/15 12:00;1;Punta;49;13;
ES0021000008305769EY;2024/07/15 13:00;1;Punta;49;1;
ES0021000008305769EY;2024/07/15 14:00;1;Punta;16;942;
ES0021000008305769EY;2024/07/15 15:00;1;Llano;0;2810;
ES0021000008305769EY;2024/07/15 16:00;1;Llano;0;2589;
ES0021000008305769EY;2024/07/15 17:00;1;Llano;0;2406;
ES0021000008305769EY;2024/07/15 18:00;1;Llano;0;1688;
ES0021000008305769EY;2024/07/15 19:00;1;Punta;0;1253;
ES0021000008305769EY;2024/07/15 20:00;1;Punta;20;506;
ES0021000008305769EY;2024/07/15 21:00;1;Punta;19;46;
ES0021000008305769EY;2024/07/15 22:00;1;Punta;17;0;
ES0021000008305769EY;2024/07/15 23:00;1;Llano;22;0;
